id,breed
Abyssinian_100,Abyssinian
Abyssinian_101,Abyssinian
Abyssinian_102,Abyssinian
Abyssinian_103,Abyssinian
Abyssinian_104,Abyssinian
Abyssinian_105,Abyssinian
Abyssinian_106,Abyssinian
Abyssinian_107,Abyssinian
Abyssinian_108,Abyssinian
Abyssinian_109,Abyssinian
Abyssinian_10,Abyssinian
Abyssinian_110,Abyssinian
Abyssinian_111,Abyssinian
Abyssinian_112,Abyssinian
Abyssinian_113,Abyssinian
Abyssinian_114,Abyssinian
Abyssinian_115,Abyssinian
Abyssinian_116,Abyssinian
Abyssinian_117,Abyssinian
Abyssinian_118,Abyssinian
Abyssinian_119,Abyssinian
Abyssinian_11,Abyssinian
Abyssinian_120,Abyssinian
Abyssinian_121,Abyssinian
Abyssinian_122,Abyssinian
Abyssinian_123,Abyssinian
Abyssinian_124,Abyssinian
Abyssinian_125,Abyssinian
Abyssinian_126,Abyssinian
Abyssinian_127,Abyssinian
Abyssinian_128,Abyssinian
Abyssinian_129,Abyssinian
Abyssinian_12,Abyssinian
Abyssinian_130,Abyssinian
Abyssinian_131,Abyssinian
Abyssinian_132,Abyssinian
Abyssinian_133,Abyssinian
Abyssinian_134,Abyssinian
Abyssinian_135,Abyssinian
Abyssinian_136,Abyssinian
Abyssinian_137,Abyssinian
Abyssinian_138,Abyssinian
Abyssinian_139,Abyssinian
Abyssinian_13,Abyssinian
Abyssinian_140,Abyssinian
Abyssinian_141,Abyssinian
Abyssinian_142,Abyssinian
Abyssinian_143,Abyssinian
Abyssinian_144,Abyssinian
Abyssinian_145,Abyssinian
american_bulldog_100,american_bulldog
american_bulldog_101,american_bulldog
american_bulldog_102,american_bulldog
american_bulldog_103,american_bulldog
american_bulldog_104,american_bulldog
american_bulldog_105,american_bulldog
american_bulldog_106,american_bulldog
american_bulldog_107,american_bulldog
american_bulldog_108,american_bulldog
american_bulldog_109,american_bulldog
american_bulldog_10,american_bulldog
american_bulldog_110,american_bulldog
american_bulldog_111,american_bulldog
american_bulldog_112,american_bulldog
american_bulldog_113,american_bulldog
american_bulldog_114,american_bulldog
american_bulldog_115,american_bulldog
american_bulldog_116,american_bulldog
american_bulldog_117,american_bulldog
american_bulldog_118,american_bulldog
american_bulldog_119,american_bulldog
american_bulldog_11,american_bulldog
american_bulldog_120,american_bulldog
american_bulldog_121,american_bulldog
american_bulldog_122,american_bulldog
american_bulldog_123,american_bulldog
american_bulldog_124,american_bulldog
american_bulldog_125,american_bulldog
american_bulldog_126,american_bulldog
american_bulldog_127,american_bulldog
american_bulldog_128,american_bulldog
american_bulldog_129,american_bulldog
american_bulldog_12,american_bulldog
american_bulldog_130,american_bulldog
american_bulldog_131,american_bulldog
american_bulldog_132,american_bulldog
american_bulldog_133,american_bulldog
american_bulldog_134,american_bulldog
american_bulldog_135,american_bulldog
american_bulldog_136,american_bulldog
american_bulldog_137,american_bulldog
american_bulldog_138,american_bulldog
american_bulldog_139,american_bulldog
american_bulldog_13,american_bulldog
american_bulldog_140,american_bulldog
american_bulldog_141,american_bulldog
american_bulldog_142,american_bulldog
american_bulldog_143,american_bulldog
american_bulldog_144,american_bulldog
american_bulldog_146,american_bulldog
american_pit_bull_terrier_100,american_pit_bull_terrier
american_pit_bull_terrier_101,american_pit_bull_terrier
american_pit_bull_terrier_102,american_pit_bull_terrier
american_pit_bull_terrier_103,american_pit_bull_terrier
american_pit_bull_terrier_104,american_pit_bull_terrier
american_pit_bull_terrier_105,american_pit_bull_terrier
american_pit_bull_terrier_106,american_pit_bull_terrier
american_pit_bull_terrier_107,american_pit_bull_terrier
american_pit_bull_terrier_108,american_pit_bull_terrier
american_pit_bull_terrier_109,american_pit_bull_terrier
american_pit_bull_terrier_10,american_pit_bull_terrier
american_pit_bull_terrier_110,american_pit_bull_terrier
american_pit_bull_terrier_111,american_pit_bull_terrier
american_pit_bull_terrier_112,american_pit_bull_terrier
american_pit_bull_terrier_113,american_pit_bull_terrier
american_pit_bull_terrier_114,american_pit_bull_terrier
american_pit_bull_terrier_115,american_pit_bull_terrier
american_pit_bull_terrier_116,american_pit_bull_terrier
american_pit_bull_terrier_117,american_pit_bull_terrier
american_pit_bull_terrier_118,american_pit_bull_terrier
american_pit_bull_terrier_119,american_pit_bull_terrier
american_pit_bull_terrier_11,american_pit_bull_terrier
american_pit_bull_terrier_120,american_pit_bull_terrier
american_pit_bull_terrier_121,american_pit_bull_terrier
american_pit_bull_terrier_122,american_pit_bull_terrier
american_pit_bull_terrier_123,american_pit_bull_terrier
american_pit_bull_terrier_124,american_pit_bull_terrier
american_pit_bull_terrier_125,american_pit_bull_terrier
american_pit_bull_terrier_126,american_pit_bull_terrier
american_pit_bull_terrier_127,american_pit_bull_terrier
american_pit_bull_terrier_128,american_pit_bull_terrier
american_pit_bull_terrier_129,american_pit_bull_terrier
american_pit_bull_terrier_12,american_pit_bull_terrier
american_pit_bull_terrier_130,american_pit_bull_terrier
american_pit_bull_terrier_131,american_pit_bull_terrier
american_pit_bull_terrier_132,american_pit_bull_terrier
american_pit_bull_terrier_133,american_pit_bull_terrier
american_pit_bull_terrier_134,american_pit_bull_terrier
american_pit_bull_terrier_135,american_pit_bull_terrier
american_pit_bull_terrier_136,american_pit_bull_terrier
american_pit_bull_terrier_137,american_pit_bull_terrier
american_pit_bull_terrier_138,american_pit_bull_terrier
american_pit_bull_terrier_139,american_pit_bull_terrier
american_pit_bull_terrier_13,american_pit_bull_terrier
american_pit_bull_terrier_140,american_pit_bull_terrier
american_pit_bull_terrier_141,american_pit_bull_terrier
american_pit_bull_terrier_142,american_pit_bull_terrier
american_pit_bull_terrier_143,american_pit_bull_terrier
american_pit_bull_terrier_144,american_pit_bull_terrier
american_pit_bull_terrier_145,american_pit_bull_terrier
basset_hound_100,basset_hound
basset_hound_101,basset_hound
basset_hound_102,basset_hound
basset_hound_103,basset_hound
basset_hound_104,basset_hound
basset_hound_105,basset_hound
basset_hound_106,basset_hound
basset_hound_107,basset_hound
basset_hound_108,basset_hound
basset_hound_109,basset_hound
basset_hound_10,basset_hound
basset_hound_110,basset_hound
basset_hound_111,basset_hound
basset_hound_112,basset_hound
basset_hound_113,basset_hound
basset_hound_114,basset_hound
basset_hound_115,basset_hound
basset_hound_116,basset_hound
basset_hound_117,basset_hound
basset_hound_118,basset_hound
basset_hound_119,basset_hound
basset_hound_11,basset_hound
basset_hound_120,basset_hound
basset_hound_121,basset_hound
basset_hound_122,basset_hound
basset_hound_123,basset_hound
basset_hound_124,basset_hound
basset_hound_125,basset_hound
basset_hound_126,basset_hound
basset_hound_127,basset_hound
basset_hound_128,basset_hound
basset_hound_129,basset_hound
basset_hound_12,basset_hound
basset_hound_130,basset_hound
basset_hound_131,basset_hound
basset_hound_132,basset_hound
basset_hound_133,basset_hound
basset_hound_134,basset_hound
basset_hound_135,basset_hound
basset_hound_136,basset_hound
basset_hound_137,basset_hound
basset_hound_138,basset_hound
basset_hound_139,basset_hound
basset_hound_13,basset_hound
basset_hound_140,basset_hound
basset_hound_141,basset_hound
basset_hound_142,basset_hound
basset_hound_143,basset_hound
basset_hound_144,basset_hound
basset_hound_145,basset_hound
beagle_100,beagle
beagle_101,beagle
beagle_102,beagle
beagle_103,beagle
beagle_104,beagle
beagle_105,beagle
beagle_107,beagle
beagle_108,beagle
beagle_109,beagle
beagle_10,beagle
beagle_110,beagle
beagle_111,beagle
beagle_112,beagle
beagle_113,beagle
beagle_114,beagle
beagle_115,beagle
beagle_116,beagle
beagle_117,beagle
beagle_118,beagle
